Название,Ссылка,Collection ID,Item ID,Created On,Updated On,Published On,Раздел,В группе,Название группы,Описание,Цена,Веган,Доставка,2 Советская,Римского-Корсакова,ВО,Позиция в списке,Фотография,Является группой
Cold Brew в бутылке,cold-brew-v-butylke,5fab84f647b9e10c06cef6ec,608ae2d30c2fc8dd2e524830,Thu Apr 29 2021 16:46:11 GMT+0000 (Coordinated Universal Time),Fri Oct 01 2021 23:00:51 GMT+0000 (Coordinated Universal Time),,drinks,true,,,250,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,4.9,,false
Домашняя гранола; черничный смузи,domashnayaya-granola-chernichnyi-smuzi,5fab84f647b9e10c06cef6ec,5fc4c62b3f21720dcd76a9fa,Mon Nov 30 2020 10:15:07 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:49:13 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Домашняя Гранола,На основе черничного смузи и йогурта (210 г),350,false,true,2-sovetskaya,rimskogo-korsakova,,10.1,,false
Домашнаяя Гранола; тропический смузи,domashnayaya-granola-tropicheskiy-smuzi,5fab84f647b9e10c06cef6ec,5fc4c64e8f677a44ae53097c,Mon Nov 30 2020 10:15:42 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:49:03 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,На основе тропического смузи со спирулиной (250 г),350,true,true,2-sovetskaya,rimskogo-korsakova,,10.2,,false
Домашняя гранола на развес,domashnyaya-granola-na-razves,5fab84f647b9e10c06cef6ec,608ae6c53900f760b8351ca9,Thu Apr 29 2021 17:03:01 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:50 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Домашняя гранола на развес,На развес 100 г,220,true,true,,,met-vo,10.4,,false
Домашняя гранола на развес; с молоком,domashnyaya-granola-s-molokom,5fab84f647b9e10c06cef6ec,608ae74465025e29ec360c32,Thu Apr 29 2021 17:05:08 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:42 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,* Можем приготовить с молоком,280,false,true,,,met-vo,10.5,,false
Домашняя гранола на развес; с растительным молоком,domashnyaya-granola-s-rastitelnym-molokom,5fab84f647b9e10c06cef6ec,608ae75f52db4c54b2eface0,Thu Apr 29 2021 17:05:35 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:35 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,* Можем приготовить с растительным молоком: соя/миндаль/кокос,280,true,true,,,met-vo,10.6,,false
Домашняя гранола; йогурт,domashnyaya-granola-yogurt,5fab84f647b9e10c06cef6ec,5fc4c676e6be6c53852a3d27,Mon Nov 30 2020 10:16:22 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:56 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,,На основе йогурта и вишневого варенья (260 г),350,false,true,2-sovetskaya,rimskogo-korsakova,,10.3,,false
Драники,draniki,5fab84f647b9e10c06cef6ec,61579b7eb834584805d34ae7,Fri Oct 01 2021 23:36:30 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 14:48:06 GMT+0000 (Coordinated Universal Time),Fri Mar 04 2022 15:01:33 GMT+0000 (Coordinated Universal Time),zavtraki,true,Драники с яйцом пашот и лососем,"С 10 утра. Драники из цукини и картофеля с лососем слабой соли, яйцом пашот и копченой сметаной (350 г)",450,false,false,2-sovetskaya,rimskogo-korsakova,,6.1,,false
Эспрессо,espresso,5fab84f647b9e10c06cef6ec,5fbe41d3426f627420cfcb73,Wed Nov 25 2020 11:36:51 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:03:24 GMT+0000 (Coordinated Universal Time),Wed Dec 09 2020 22:23:32 GMT+0000 (Coordinated Universal Time),drinks,true,Штатный кофе,,100,true,false,2-sovetskaya,rimskogo-korsakova,met-vo,1.1,,false
Фильтр кофе,filtr-kofe,5fab84f647b9e10c06cef6ec,5fc4aaa0f2025e9f66d07655,Mon Nov 30 2020 08:17:36 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 00:31:10 GMT+0000 (Coordinated Universal Time),Sun Oct 31 2021 01:09:13 GMT+0000 (Coordinated Universal Time),drinks,true,,,150,true,true,2-sovetskaya,rimskogo-korsakova,met-vo,2.3,,false
